action,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
B,8,12,0,9,False,False,B,135
DOWN,8,12,0,9,False,False,DOWN,136
SELECT,8,12,0,9,False,False,SELECT,137
UP,8,12,0,9,False,False,UP,138
A,8,12,0,9,False,False,A,139
L,8,12,0,9,False,False,L,140
START,8,12,0,9,False,False,START,141
DOWN,8,12,0,9,False,False,DOWN,142
LEFT,8,12,0,9,False,False,LEFT,143
START,8,12,0,9,False,False,START,144
DOWN,8,12,0,9,False,False,DOWN,145
UP,8,12,0,9,False,False,UP,146
A,8,12,0,9,False,False,A,147
DOWN,8,12,0,9,False,False,DOWN,148
SELECT,8,12,0,9,False,False,SELECT,149
LEFT,8,12,0,9,False,False,LEFT,150
R,8,12,0,9,False,False,R,151
UP,8,12,0,9,False,False,UP,152
L,8,12,0,9,False,False,L,153
UP,8,12,0,9,False,False,UP,154
R,8,12,0,9,False,False,R,155
DOWN,8,12,0,9,False,False,DOWN,156
LEFT,8,12,0,9,False,False,LEFT,157
UP,8,12,0,9,False,False,UP,158
A,8,12,0,9,False,False,A,159
L,8,12,0,9,False,False,L,160
START,8,12,0,9,False,False,START,161
DOWN,8,12,0,9,False,False,DOWN,162
START,8,12,0,9,False,False,START,163
RIGHT,9,12,0,9,False,False,RIGHT,164
B,9,12,0,9,False,False,B,165
A,9,12,0,9,False,False,A,166
R,9,12,0,9,False,False,R,167
R,9,12,0,9,False,False,R,168
R,9,12,0,9,False,False,R,169
SELECT,9,12,0,9,False,False,SELECT,170
START,9,12,0,9,False,False,START,171
LEFT,9,12,0,9,False,False,LEFT,172
R,9,12,0,9,False,False,R,173
DOWN,9,12,0,9,False,False,DOWN,174
A,9,12,0,9,False,False,A,175
LEFT,9,12,0,9,False,False,LEFT,176
START,9,12,0,9,False,False,START,177
SELECT,9,12,0,9,False,False,SELECT,178
DOWN,9,12,0,9,False,False,DOWN,179
A,9,12,0,9,False,False,A,180
B,9,12,0,9,False,False,B,181
RIGHT,10,12,0,9,False,False,RIGHT,182
L,10,12,0,9,False,False,L,183
DOWN,10,12,0,9,False,False,DOWN,184
L,10,12,0,9,False,False,L,185
DOWN,10,12,0,9,False,False,DOWN,186
SELECT,10,12,0,9,False,False,SELECT,187
A,10,12,0,9,False,False,A,188
B,10,12,0,9,False,False,B,189
UP,10,12,0,9,False,False,UP,190
START,10,12,0,9,False,False,START,191
UP,10,12,0,9,False,False,UP,192
LEFT,10,12,0,9,False,False,LEFT,193
RIGHT,10,12,0,9,False,False,RIGHT,194
RIGHT,10,12,0,9,False,False,RIGHT,195
UP,10,12,0,9,False,False,UP,196
LEFT,10,12,0,9,False,False,LEFT,197
B,10,12,0,9,False,False,B,198
START,10,12,0,9,False,False,START,199
B,10,12,0,9,False,False,B,200
A,10,12,0,9,False,False,A,201
R,10,12,0,9,False,False,R,202
B,10,12,0,9,False,False,B,203
R,10,12,0,9,False,False,R,204
L,10,12,0,9,False,False,L,205
B,10,12,0,9,False,False,B,206
START,10,12,0,9,False,False,START,207
L,10,12,0,9,False,False,L,208
B,10,12,0,9,False,False,B,209
LEFT,10,12,0,9,False,False,LEFT,210
L,10,12,0,9,False,False,L,211
UP,10,12,0,9,False,False,UP,212
B,10,12,0,9,False,False,B,213
START,10,12,0,9,False,False,START,214
A,10,12,0,9,False,False,A,215
START,10,12,0,9,False,False,START,216
DOWN,10,12,0,9,False,False,DOWN,217
SELECT,10,12,0,9,False,False,SELECT,218
L,10,12,0,9,False,False,L,219
R,10,12,0,9,False,False,R,220
L,10,12,0,9,False,False,L,221
A,10,12,0,9,False,False,A,222
A,10,12,0,9,False,False,A,223
UP,10,12,0,9,False,False,UP,224
R,10,12,0,9,False,False,R,225
SELECT,10,12,0,9,False,False,SELECT,226
L,10,12,0,9,False,False,L,227
RIGHT,10,12,0,9,False,False,RIGHT,228
SELECT,10,12,0,9,False,False,SELECT,229
RIGHT,10,12,0,9,False,False,RIGHT,230
DOWN,10,12,0,9,False,False,DOWN,231
START,10,12,0,9,False,False,START,232
RIGHT,10,12,0,9,False,False,RIGHT,233
DOWN,10,12,0,9,False,False,DOWN,234
SELECT,10,12,0,9,False,False,SELECT,235
L,10,12,0,9,False,False,L,236
SELECT,10,12,0,9,False,False,SELECT,237
LEFT,10,12,0,9,False,False,LEFT,238
B,10,12,0,9,False,False,B,239
A,10,12,0,9,False,False,A,240
RIGHT,10,12,0,9,False,False,RIGHT,241
B,10,12,0,9,False,False,B,242
R,10,12,0,9,False,False,R,243
B,10,12,0,9,False,False,B,244
DOWN,10,12,0,9,False,False,DOWN,245
B,10,12,0,9,False,False,B,246
R,10,12,0,9,False,False,R,247
DOWN,10,12,0,9,False,False,DOWN,248
L,10,12,0,9,False,False,L,249
UP,10,12,0,9,False,False,UP,250
L,10,12,0,9,False,False,L,251
LEFT,10,12,0,9,False,False,LEFT,252
LEFT,10,12,0,9,False,False,LEFT,253
RIGHT,10,12,0,9,False,False,RIGHT,254
START,10,12,0,9,False,False,START,255
A,10,12,0,9,False,False,A,256
B,10,12,0,9,False,False,B,257
A,10,12,0,9,False,False,A,258
B,10,12,0,9,False,False,B,259
START,10,12,0,9,False,False,START,260
SELECT,10,12,0,9,False,False,SELECT,261
A,10,12,0,9,False,False,A,262
A,10,12,0,9,False,False,A,263
B,10,12,0,9,False,False,B,264
RIGHT,10,12,0,9,False,False,RIGHT,265
SELECT,10,12,0,9,False,False,SELECT,266
RIGHT,10,12,0,9,False,False,RIGHT,267
R,10,12,0,9,False,False,R,268
DOWN,10,12,0,9,False,False,DOWN,269
LEFT,10,12,0,9,False,False,LEFT,270
A,10,12,0,9,False,False,A,271
LEFT,10,12,0,9,False,False,LEFT,272
R,10,12,0,9,False,False,R,273
RIGHT,10,12,0,9,False,False,RIGHT,274
DOWN,10,12,0,9,False,False,DOWN,275
SELECT,10,12,0,9,False,False,SELECT,276
A,10,12,0,9,False,False,A,277
START,10,12,0,9,False,False,START,278
UP,10,12,0,9,False,False,UP,279
R,10,12,0,9,False,False,R,280
LEFT,10,12,0,9,False,False,LEFT,281
START,10,12,0,9,False,False,START,282
LEFT,10,12,0,9,False,False,LEFT,283
RIGHT,10,12,0,9,False,False,RIGHT,284
R,10,12,0,9,False,False,R,285
START,10,12,0,9,False,False,START,286
LEFT,10,12,0,9,False,False,LEFT,287
START,10,12,0,9,False,False,START,288
RIGHT,10,12,0,9,False,False,RIGHT,289
DOWN,10,12,0,9,False,False,DOWN,290
R,10,12,0,9,False,False,R,291
A,10,12,0,9,False,False,A,292
B,10,12,0,9,False,False,B,293
DOWN,10,12,0,9,False,False,DOWN,294
L,10,12,0,9,False,False,L,295
L,10,12,0,9,False,False,L,296
DOWN,10,13,0,9,False,False,DOWN,297
SELECT,10,13,0,9,False,False,SELECT,298
SELECT,10,13,0,9,False,False,SELECT,299
SELECT,10,13,0,9,False,False,SELECT,300
L,10,13,0,9,False,False,L,301
LEFT,10,13,0,9,False,False,LEFT,302
R,10,13,0,9,False,False,R,303
A,10,13,0,9,False,False,A,304
B,10,13,0,9,False,False,B,305
UP,10,13,0,9,False,False,UP,306
L,10,13,0,9,False,False,L,307
DOWN,10,13,0,9,False,False,DOWN,308
A,10,13,0,9,False,False,A,309
UP,10,12,0,9,False,False,UP,310
DOWN,10,13,0,9,False,False,DOWN,311
A,10,13,0,9,False,False,A,312
LEFT,10,13,0,9,False,False,LEFT,313
START,10,13,0,9,False,False,START,314
B,10,13,0,9,False,False,B,315
B,10,13,0,9,False,False,B,316
A,10,13,0,9,False,False,A,317
UP,10,13,0,9,False,False,UP,318
L,10,13,0,9,False,False,L,319
LEFT,10,13,0,9,False,False,LEFT,320
SELECT,10,13,0,9,False,False,SELECT,321
RIGHT,10,13,0,9,False,False,RIGHT,322
DOWN,10,13,0,9,False,False,DOWN,323
SELECT,10,13,0,9,False,False,SELECT,324
A,10,13,0,9,False,False,A,325
R,10,13,0,9,False,False,R,326
B,10,13,0,9,False,False,B,327
DOWN,10,13,0,9,False,False,DOWN,328
SELECT,10,13,0,9,False,False,SELECT,329
L,10,13,0,9,False,False,L,330
B,10,13,0,9,False,False,B,331
LEFT,10,13,0,9,False,False,LEFT,332
A,10,13,0,9,False,False,A,333
B,10,13,0,9,False,False,B,334
RIGHT,11,13,0,9,False,False,RIGHT,335
B,11,13,0,9,False,False,B,336
B,11,13,0,9,False,False,B,337
SELECT,11,13,0,9,False,False,SELECT,338
UP,11,13,0,9,False,False,UP,339
L,11,13,0,9,False,False,L,340
LEFT,11,13,0,9,False,False,LEFT,341
RIGHT,11,13,0,9,False,False,RIGHT,342
SELECT,11,13,0,9,False,False,SELECT,343
RIGHT,11,13,0,9,False,False,RIGHT,344
START,11,13,0,9,False,False,START,345
RIGHT,11,13,0,9,False,False,RIGHT,346
SELECT,11,13,0,9,False,False,SELECT,347
LEFT,11,13,0,9,False,False,LEFT,348
DOWN,11,13,0,9,False,False,DOWN,349
DOWN,11,13,0,9,False,False,DOWN,350
DOWN,11,13,0,9,False,False,DOWN,351
START,11,13,0,9,False,False,START,352
UP,11,13,0,9,False,False,UP,353
UP,11,13,0,9,False,False,UP,354
RIGHT,11,13,0,9,False,False,RIGHT,355
START,11,13,0,9,False,False,START,356
L,11,13,0,9,False,False,L,357
START,11,13,0,9,False,False,START,358
START,11,13,0,9,False,False,START,359
START,11,13,0,9,False,False,START,360
START,11,13,0,9,False,False,START,361
UP,11,13,0,9,False,False,UP,362
SELECT,11,13,0,9,False,False,SELECT,363
DOWN,11,13,0,9,False,False,DOWN,364
B,11,13,0,9,False,False,B,365
UP,11,12,0,9,False,False,UP,366
R,11,12,0,9,False,False,R,367
LEFT,10,12,0,9,False,False,LEFT,368
LEFT,9,12,0,9,False,False,LEFT,369
L,9,12,0,9,False,False,L,370
R,9,12,0,9,False,False,R,371
LEFT,8,12,0,9,False,False,LEFT,372
L,8,12,0,9,False,False,L,373
DOWN,8,12,0,9,False,False,DOWN,374
RIGHT,9,12,0,9,False,False,RIGHT,375
B,9,12,0,9,False,False,B,376
UP,9,11,0,9,False,False,UP,377
START,9,11,0,9,False,False,START,378
START,9,11,0,9,False,False,START,379
B,9,11,0,9,False,False,B,380
SELECT,9,11,0,9,False,False,SELECT,381
SELECT,9,11,0,9,False,False,SELECT,382
L,9,11,0,9,False,False,L,383
L,9,11,0,9,False,False,L,384
R,9,11,0,9,False,False,R,385
DOWN,9,11,0,9,False,False,DOWN,386
RIGHT,9,11,0,9,False,False,RIGHT,387
UP,9,11,0,9,False,False,UP,388
A,9,11,0,9,False,False,A,389
B,9,11,0,9,False,False,B,390
DOWN,9,11,0,9,False,False,DOWN,391
SELECT,9,11,0,9,False,False,SELECT,392
B,9,11,0,9,False,False,B,393
A,9,11,0,9,False,False,A,394
START,9,11,0,9,False,False,START,395
RIGHT,9,11,0,9,False,False,RIGHT,396
LEFT,9,11,0,9,False,False,LEFT,397
DOWN,9,11,0,9,False,False,DOWN,398
RIGHT,9,11,0,9,False,False,RIGHT,399
LEFT,9,11,0,9,False,False,LEFT,400
UP,9,11,0,9,False,False,UP,401
L,9,11,0,9,False,False,L,402
R,9,11,0,9,False,False,R,403
RIGHT,9,11,0,9,False,False,RIGHT,404
RIGHT,9,11,0,9,False,False,RIGHT,405
R,9,11,0,9,False,False,R,406
R,9,11,0,9,False,False,R,407
UP,9,11,0,9,False,False,UP,408
RIGHT,9,11,0,9,False,False,RIGHT,409
START,9,11,0,9,False,False,START,410
B,9,11,0,9,False,False,B,411
A,9,11,0,9,False,False,A,412
LEFT,8,11,0,9,False,False,LEFT,413
DOWN,8,12,0,9,False,False,DOWN,414
A,8,12,0,9,False,False,A,415
A,8,12,0,9,False,False,A,416
RIGHT,9,12,0,9,False,False,RIGHT,417
A,9,12,0,9,False,False,A,418
B,9,12,0,9,False,False,B,419
UP,9,11,0,9,False,False,UP,420
L,9,11,0,9,False,False,L,421
RIGHT,10,11,0,9,False,False,RIGHT,422
L,10,11,0,9,False,False,L,423
UP,10,10,0,9,False,False,UP,424
DOWN,10,11,0,9,False,False,DOWN,425
UP,10,10,0,9,False,False,UP,426
L,10,10,0,9,False,False,L,427
DOWN,10,11,0,9,False,False,DOWN,428
SELECT,10,11,0,9,False,False,SELECT,429
UP,10,10,0,9,False,False,UP,430
B,10,10,0,9,False,False,B,431
UP,10,9,0,9,False,False,UP,432
UP,10,8,0,9,False,False,UP,433
SELECT,10,8,0,9,False,False,SELECT,434
RIGHT,10,8,0,9,False,False,RIGHT,435
B,10,8,0,9,False,False,B,436
LEFT,10,8,0,9,False,False,LEFT,437
START,10,8,0,9,False,False,START,438
LEFT,10,8,0,9,False,False,LEFT,439
L,10,8,0,9,False,False,L,440
DOWN,10,8,0,9,False,False,DOWN,441
DOWN,10,8,0,9,False,False,DOWN,442
A,10,8,0,9,False,False,A,443
A,10,8,0,9,False,False,A,444
UP,10,8,0,9,False,False,UP,445
R,10,8,0,9,False,False,R,446
START,10,8,0,9,False,False,START,447
B,10,8,0,9,False,False,B,448
L,10,8,0,9,False,False,L,449
START,10,8,0,9,False,False,START,450
START,10,8,0,9,False,False,START,451
START,10,8,0,9,False,False,START,452
A,10,8,0,9,False,False,A,453
DOWN,10,8,0,9,False,False,DOWN,454
SELECT,10,8,0,9,False,False,SELECT,455
DOWN,10,8,0,9,False,False,DOWN,456
LEFT,10,8,0,9,False,False,LEFT,457
SELECT,10,8,0,9,False,False,SELECT,458
DOWN,10,8,0,9,False,False,DOWN,459
RIGHT,10,8,0,9,False,False,RIGHT,460
L,10,8,0,9,False,False,L,461
START,10,8,0,9,False,False,START,462
A,10,8,0,9,False,False,A,463
UP,10,8,0,9,False,False,UP,464
L,10,8,0,9,False,False,L,465
L,10,8,0,9,False,False,L,466
B,10,8,0,9,False,False,B,467
START,10,8,0,9,False,False,START,468
RIGHT,10,8,0,9,False,False,RIGHT,469
START,10,8,0,9,False,False,START,470
UP,10,8,0,9,False,False,UP,471
A,10,8,0,9,False,False,A,472
LEFT,10,8,0,9,False,False,LEFT,473
RIGHT,10,8,0,9,False,False,RIGHT,474
UP,10,8,0,9,False,False,UP,475
START,10,8,0,9,False,False,START,476
START,10,8,0,9,False,False,START,477
R,10,8,0,9,False,False,R,478
DOWN,10,8,0,9,False,False,DOWN,479
B,10,8,0,9,False,False,B,480
UP,10,8,0,9,False,False,UP,481
START,10,8,0,9,False,False,START,482
A,10,8,0,9,False,False,A,483
UP,10,8,0,9,False,False,UP,484
UP,10,8,0,9,False,False,UP,485
B,10,8,0,9,False,False,B,486
B,10,8,0,9,False,False,B,487
B,10,8,0,9,False,False,B,488
UP,10,8,0,9,False,False,UP,489
B,10,8,0,9,False,False,B,490
R,10,8,0,9,False,False,R,491
SELECT,10,8,0,9,False,False,SELECT,492
SELECT,10,8,0,9,False,False,SELECT,493
L,10,8,0,9,False,False,L,494
R,10,8,0,9,False,False,R,495
START,10,8,0,9,False,False,START,496
RIGHT,10,8,0,9,False,False,RIGHT,497
LEFT,10,8,0,9,False,False,LEFT,498
SELECT,10,8,0,9,False,False,SELECT,499
SELECT,10,8,0,9,False,True,SELECT,500
